datetime,gh1,gh2,gh3,gh4
2/10/2012 0:00,284.6086074,282.169397,289.3312458,281.7233764
2/10/2012 1:00,284.606564,282.1780115,289.3168711,281.7159923
2/10/2012 2:00,284.6045207,282.186626,289.3024964,281.7086083
2/10/2012 3:00,284.6024773,282.1952405,289.2881217,281.7012243
2/10/2012 4:00,284.6004339,282.203855,289.273747,281.6938403
2/10/2012 5:00,284.5983905,282.2124695,289.2593723,281.6864562
2/10/2012 6:00,284.5963471,282.221084,289.2449976,281.6790722
2/10/2012 7:00,284.5943037,282.2296985,289.2306229,281.6716882
2/10/2012 8:00,284.5922603,282.238313,289.2162482,281.6643042
2/10/2012 9:00,284.5902169,282.2469275,289.2018735,281.6569201
2/10/2012 10:00,284.5881736,282.255542,289.1874988,281.6495361
2/10/2012 11:00,284.5861302,282.2641565,289.1731241,281.6421521
2/10/2012 12:00,284.5840868,282.272771,289.1587494,281.6347681
2/10/2012 13:00,284.5820434,282.2813855,289.1443747,281.627384
2/10/2012 14:00,284.58,282.29,289.13,281.62
2/10/2012 15:00,284.85,282.51,290.73,282.71
2/10/2012 16:00,286.26,284.44,293.02,285.05
2/10/2012 17:00,286.77,287.86,296.18,287.97
2/10/2012 18:00,288.95,292.26,299.66,290.61
2/10/2012 19:00,289.51,292.73,300.03,292.06
2/10/2012 20:00,289.67,295.57,301.07,293.68
2/10/2012 21:00,290.29,297.94,302.29,295.32
2/10/2012 22:00,291.09,300,304.7,295.18
2/10/2012 23:00,291.18,300.55,304.86,296.11
3/10/2012 0:00,291.26,300.37,304.08,295.24
3/10/2012 1:00,290.62,299.05,302.69,294.38
3/10/2012 2:00,288.11,296.42,300.52,292.28
3/10/2012 3:00,287.21,294.4,298.56,291.12
3/10/2012 4:00,286.6,293.37,297.94,289.93
3/10/2012 5:00,285.96,292.12,296.95,287.87
3/10/2012 6:00,285.63,290.46,294.14,287.14
3/10/2012 7:00,284.71,289.34,293.46,286.54
3/10/2012 8:00,284.78,289.21,293.32,286.16
3/10/2012 9:00,284.24,287.51,292.39,285.31
3/10/2012 10:00,284.17,286.36,291.96,284.3
3/10/2012 11:00,283.25,285.53,291.52,283.96
3/10/2012 12:00,283.29,284.575,291.135,283.595
3/10/2012 13:00,283.35,283.62,290.75,283.23
3/10/2012 14:00,282.53,283.09,290.26,283.5
3/10/2012 15:00,282.83,284.01,292.67,284.57
3/10/2012 16:00,283.13,284.93,295.08,285.64
3/10/2012 17:00,283.43,285.85,297.49,286.71
3/10/2012 18:00,283.92,286.9,299.48,287.42
3/10/2012 19:00,285.06,288.11,301.24,288.61
3/10/2012 20:00,286.23,289.44,302.04,289.13
3/10/2012 21:00,286.73,290.68,303.25,289.41
3/10/2012 22:00,287.455,291.91,302.875,289.18
3/10/2012 23:00,288.18,293.14,302.5,288.95
4/10/2012 0:00,288.24,292.83,302.81,288.79
4/10/2012 1:00,286.5,291.37,301.91,287.47
4/10/2012 2:00,285.39,289.27,299.96,286.01
4/10/2012 3:00,284.26,287,297.82,284.85
4/10/2012 4:00,283.46,285.73,296.56,283.91
4/10/2012 5:00,283.74,284,296.01,283.31
4/10/2012 6:00,282.71,282.84,294.68,283.07
4/10/2012 7:00,282.44,282.24,293.92,283.15
4/10/2012 8:00,281.56,281.43,293.67,282.51
4/10/2012 9:00,281.42,281.09,293.41,281.98
4/10/2012 10:00,281.3,280.67,291.81,281.49
4/10/2012 11:00,280.97,280.77,291.16,281.14
4/10/2012 12:00,280.92,281.7,290.4,280.59
4/10/2012 13:00,280.91,281.44,289.99,279.65
4/10/2012 14:00,280.04,282.77,290.19,279.15
4/10/2012 15:00,280.15,283.79,291.28,279.72
4/10/2012 16:00,282.78,286.69,294.26,282.4
4/10/2012 17:00,284.38,288.49,296.75,284.72
4/10/2012 18:00,286.8,289.75,297.74,286.03
4/10/2012 19:00,288.56,291,298.64,287.19
4/10/2012 20:00,289.26,291.72,299.51,288.68
4/10/2012 21:00,289.36,292.75,298.97,289.56
4/10/2012 22:00,290.15,293.03,298.47,290.05
4/10/2012 23:00,289.66,293.21,296.57,289.98
5/10/2012 0:00,288.87,292.99,294.64,289.6
5/10/2012 1:00,287.18,291.93,293.22,288.4
5/10/2012 2:00,285.06,290.54,291.24,286.38
5/10/2012 3:00,283.93,289.54,290.38,285.56
5/10/2012 4:00,283.34,288.73,289.76,284.45
5/10/2012 5:00,282.68,288.35,289.43,283.92
5/10/2012 6:00,281.81,287.02,289.25,283.25
5/10/2012 7:00,281.23,286.62,288.91,282.585
